iter	Passed	Remaining
0	1	99
1	1	89
2	2	83
3	3	80
4	4	80
5	5	78
6	5	77
7	6	75
8	7	74
9	8	73
10	9	73
11	9	72
12	10	71
13	11	71
14	12	71
15	13	71
16	14	70
17	15	69
18	16	68
19	16	67
20	17	67
21	18	66
22	19	65
23	20	63
24	21	63
25	21	62
26	22	60
27	23	60
28	24	59
29	25	58
30	26	57
31	26	57
32	27	56
33	28	55
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	34	51
40	34	50
41	35	49
42	36	48
43	37	47
44	38	46
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	54	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
