iter	Passed	Remaining
0	137	137313
1	138	68916
2	138	46110
3	139	34700
4	139	27841
5	140	23265
6	140	19997
7	141	17546
8	142	15642
9	142	14114
10	143	12867
11	143	11827
12	144	10948
13	144	10197
14	145	9552
15	146	9009
16	147	8508
17	147	8063
18	148	7663
19	149	7303
20	149	6977
21	150	6682
22	150	6413
23	151	6168
24	152	5939
25	152	5724
26	153	5527
27	153	5343
28	154	5172
29	155	5013
30	155	4865
31	156	4724
32	156	4597
33	157	4477
34	158	4361
35	158	4251
36	159	4150
37	160	4052
38	160	3959
39	161	3871
40	161	3786
41	162	3706
42	163	3632
43	163	3559
44	164	3489
45	165	3422
46	165	3358
47	166	3298
48	166	3240
49	167	3183
50	168	3130
51	168	3077
52	169	3027
53	170	2980
54	170	2934
55	171	2889
56	171	2844
57	172	2803
58	173	2762
59	173	2722
60	174	2684
61	174	2647
62	175	2612
63	176	2582
64	177	2549
65	177	2516
66	178	2483
67	178	2452
68	179	2422
69	180	2392
70	180	2364
71	181	2336
72	181	2308
73	182	2282
74	183	2258
75	183	2233
76	184	2209
77	184	2186
78	185	2163
79	186	2140
80	186	2117
81	187	2096
82	187	2072
83	188	2051
84	188	2031
85	189	2012
86	189	1993
87	190	1974
88	191	1956
89	191	1937
90	192	1919
91	192	1902
92	193	1885
93	193	1869
94	194	1852
95	195	1836
96	195	1820
97	196	1806
98	196	1790
99	197	1775
100	197	1761
101	198	1747
102	199	1733
103	199	1719
104	200	1706
105	200	1692
106	201	1680
107	202	1668
108	202	1655
109	203	1643
110	203	1631
111	204	1619
112	204	1608
113	205	1597
114	206	1585
115	206	1574
116	206	1562
117	207	1551
118	208	1542
119	208	1531
120	209	1521
121	209	1510
122	210	1500
123	210	1490
124	211	1480
125	212	1471
126	212	1461
127	213	1451
128	213	1443
129	214	1434
130	215	1426
131	215	1418
132	216	1410
133	216	1402
134	217	1393
135	218	1385
136	218	1376
137	219	1368
138	219	1360
139	220	1353
140	220	1345
141	221	1337
142	221	1329
143	222	1322
144	223	1315
145	223	1307
146	224	1300
147	224	1292
148	225	1285
149	225	1279
150	226	1272
151	226	1265
152	227	1259
153	228	1253
154	228	1247
155	229	1240
156	230	1235
157	230	1228
158	231	1222
159	231	1216
160	232	1209
161	232	1203
162	233	1198
163	233	1192
164	234	1187
165	235	1181
166	235	1175
167	236	1170
168	236	1164
169	237	1159
170	238	1154
171	238	1149
172	239	1145
173	240	1141
174	241	1137
175	242	1133
176	242	1129
177	243	1125
178	244	1121
179	245	1117
180	246	1113
181	246	1109
182	247	1106
183	248	1102
184	249	1097
185	250	1094
186	251	1091
187	251	1087
188	252	1083
189	253	1079
190	253	1075
191	254	1071
192	255	1067
